1095,855,738,1638188438
1623,1369,1972,1638188498
629,1469,1425,1638188558
1425,533,1528,1638188618
409,1408,970,1638188678
1161,116,1659,1638188738
898,798,1890,1638188798
1414,1546,1291,1638188858
1325,1090,165,1638188918
695,206,1480,1638188978
7,1703,732,1638189038
33,793,196,1638189098
886,192,492,1638189158
785,573,600,1638189218
1550,822,1403,1638189278
1500,1742,252,1638189338
1016,766,1910,1638189398
361,219,130,1638189458
1735,220,1463,1638189518
1121,1013,1511,1638189578
634,703,744,1638189638
1353,408,874,1638189698
1828,288,997,1638189758
347,263,502,1638189818
240,610,177,1638189878
1422,280,1190,1638189938
1612,22,454,1638189998
528,1122,1004,1638190058
632,625,1423,1638190118
42,94,1059,1638190178
1954,449,1610,1638190238
1670,1977,1338,1638190298
1358,1636,1383,1638190358
575,1090,222,1638190418
1941,1134,1835,1638190478
1944,921,454,1638190538
1306,1459,1560,1638190598
1017,442,1805,1638190658
606,453,1051,1638190718
273,1378,1493,1638190778
1542,594,569,1638190838
372,1030,6,1638190898
1863,445,1413,1638190958
707,1746,170,1638191018
1712,860,554,1638191078
1338,239,1281,1638191138
1992,1437,978,1638191198
1003,1033,226,1638191258
1777,1190,8,1638191318
1059,1398,371,1638191378
101,956,1300,1638191438
743,746,368,1638191498
341,572,324,1638191558
1966,519,1968,1638191618
892,649,851,1638191678
1726,402,1083,1638191738
1258,78,1220,1638191798
440,771,60,1638191858
1519,1832,322,1638191918
1358,1926,336,1638191978
1805,57,719,1638192038
474,1783,1083,1638192098
879,1967,359,1638192158
634,787,442,1638192218
1389,1334,1200,1638192278
899,1775,215,1638192338
537,1312,104,1638192398
269,883,1605,1638192458
1760,1126,955,1638192518
1240,149,947,1638192578
1202,1284,879,1638192638
1440,963,585,1638192698
820,1119,1530,1638192758
86,1376,66,1638192818
1833,1831,1937,1638192878
268,357,285,1638192938
142,1450,1205,1638192998
1331,846,604,1638193058
1772,858,136,1638193118
600,1339,911,1638193178
204,562,1034,1638193238
1396,1409,1367,1638193298
845,877,411,1638193358
775,1457,1552,1638193418
24,537,1932,1638193478
428,51,989,1638193538
1580,1899,1800,1638193598
262,864,49,1638193658
236,221,134,1638193718
933,1608,1350,1638193778
178,1013,1111,1638193838
974,1430,306,1638193898
1424,876,282,1638193958
1129,474,60,1638194018
845,1868,1695,1638194078
1894,1731,997,1638194138
914,1009,1936,1638194198
324,78,3,1638194258
822,1043,1331,1638194318
1430,904,1707,1638194378
