0.0.0.0,21,21,1641937479
192.162.70.239,53,53,1641937479
192.162.70.239,53,53,1641937479
127.0.0.1,53,53,1641937479
0.0.0.0,22,22,1641937479
0.0.0.0,25,25,1641937479
127.0.0.1,953,953,1641937479
0.0.0.0,993,993,1641937479
0.0.0.0,995,995,1641937479
127.0.0.1,11332,*,1641937479
127.0.0.1,11334,*,1641937479
127.0.0.1,10023,*,1641937479
127.0.0.1,10024,*,1641937479
127.0.0.1,10025,*,1641937479
127.0.0.1,10027,*,1641937479
0.0.0.0,587,587,1641937479
127.0.0.1,6379,6379,1641937479
127.0.0.1,11211,*,1641937479
0.0.0.0,110,110,1641937479
0.0.0.0,143,143,1641937479
192.162.70.239,22,22,1641937479
127.0.0.1,6379,6379,1641937479
192.162.70.239,36235,53,1641937479
192.162.70.239,42675,53,1641937479
127.0.0.1,6379,6379,1641937479
127.0.0.1,56434,6379,1641937479
192.162.70.239,57979,53,1641937479
192.162.70.239,42083,53,1641937479
127.0.0.1,6379,6379,1641937479
127.0.0.1,57768,6379,1641937479
192.162.70.239,46175,53,1641937479
127.0.0.1,56900,6379,1641937479
192.162.70.239,48715,53,1641937479
127.0.0.1,56816,6379,1641937479
192.162.70.239,39629,53,1641937479
192.162.70.239,60537,53,1641937479
127.0.0.1,6379,6379,1641937479
192.162.70.239,49587,53,1641937479
127.0.0.1,6379,6379,1641937479
127.0.0.1,6379,6379,1641937479
127.0.0.1,56256,6379,1641937479
192.162.70.239,46131,53,1641937479
127.0.0.1,33073,53,1641937479
127.0.0.1,33669,53,1641937479
127.0.0.1,33884,53,1641937479
127.0.0.1,35441,53,1641937479
127.0.0.1,35723,53,1641937479
127.0.0.1,35811,53,1641937479
127.0.0.1,36220,53,1641937479
127.0.0.1,37126,53,1641937479
127.0.0.1,37160,53,1641937479
127.0.0.1,39376,53,1641937479
127.0.0.1,39897,53,1641937479
127.0.0.1,39963,53,1641937479
127.0.0.1,40706,53,1641937479
127.0.0.1,40829,53,1641937479
127.0.0.1,42131,53,1641937479
127.0.0.1,42796,53,1641937479
127.0.0.1,42972,53,1641937479
127.0.0.1,43861,53,1641937479
127.0.0.1,44415,53,1641937479
127.0.0.1,44737,53,1641937479
127.0.0.1,45324,53,1641937479
127.0.0.1,46411,53,1641937479
127.0.0.1,47103,53,1641937479
127.0.0.1,47301,53,1641937479
127.0.0.1,47342,53,1641937479
127.0.0.1,47528,53,1641937479
127.0.0.1,48436,53,1641937479
127.0.0.1,48609,53,1641937479
127.0.0.1,48636,53,1641937479
127.0.0.1,48920,53,1641937479
127.0.0.1,49153,53,1641937479
127.0.0.1,50417,53,1641937479
127.0.0.1,50630,53,1641937479
127.0.0.1,50729,53,1641937479
127.0.0.1,52010,53,1641937479
127.0.0.1,52513,53,1641937479
127.0.0.1,53485,53,1641937479
127.0.0.1,54035,53,1641937479
127.0.0.1,54855,53,1641937479
127.0.0.1,55554,53,1641937479
127.0.0.1,56964,53,1641937479
127.0.0.1,58363,53,1641937479
127.0.0.1,58828,53,1641937479
127.0.0.1,59071,53,1641937479
127.0.0.1,59225,53,1641937479
127.0.0.1,59593,53,1641937479
192.162.70.239,53,53,1641937479
127.0.0.1,53,53,1641937479
127.0.0.1,53,53,1641937479
0.0.0.0,21,21,1641937825
192.162.70.239,53,53,1641937825
127.0.0.1,53,53,1641937825
127.0.0.1,53,53,1641937825
0.0.0.0,22,22,1641937825
